epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error,learning_rate
0,0.1822647750377655,0.1822647750377655,0.0908704549074173,0.0908704549074173,9.999999747378752e-05
1,0.10313709825277328,0.10313709825277328,0.061956677585840225,0.061956677585840225,9.999999747378752e-05
2,0.09081859141588211,0.09081859141588211,0.05542055144906044,0.05542055144906044,9.999999747378752e-05
3,0.08400843292474747,0.08400843292474747,0.0504048615694046,0.0504048615694046,9.999999747378752e-05
4,0.08021045476198196,0.08021045476198196,0.05096948519349098,0.05096948519349098,9.999999747378752e-05
5,0.07651540637016296,0.07651540637016296,0.04359184950590134,0.04359184950590134,9.999999747378752e-05
6,0.0739516094326973,0.0739516094326973,0.04379546269774437,0.04379546269774437,9.999999747378752e-05
7,0.06993322819471359,0.06993322819471359,0.06739683449268341,0.06739683449268341,9.999999747378752e-05
8,0.069211944937706,0.069211944937706,0.039305590093135834,0.039305590093135834,9.999999747378752e-05
9,0.0661371648311615,0.0661371648311615,0.04324255883693695,0.04324255883693695,9.999999747378752e-05
10,0.06415466964244843,0.06415466964244843,0.03878094255924225,0.03878094255924225,9.999999747378752e-05
11,0.0634676069021225,0.0634676069021225,0.04088718816637993,0.04088718816637993,9.999999747378752e-05
12,0.06139083206653595,0.06139083206653595,0.041526734828948975,0.041526734828948975,9.999999747378752e-05
13,0.061048731207847595,0.061048731207847595,0.046123333275318146,0.046123333275318146,9.999999747378752e-05
14,0.05803133547306061,0.05803133547306061,0.0384615994989872,0.0384615994989872,9.999999747378752e-05
15,0.05896256864070892,0.05896256864070892,0.04764504358172417,0.04764504358172417,9.999999747378752e-05
16,0.05669093132019043,0.05669093132019043,0.036209482699632645,0.036209482699632645,9.999999747378752e-05
17,0.054677534848451614,0.054677534848451614,0.03781822323799133,0.03781822323799133,9.999999747378752e-05
18,0.05415310338139534,0.05415310338139534,0.036654479801654816,0.036654479801654816,9.999999747378752e-05
19,0.05346226692199707,0.05346226692199707,0.0360892117023468,0.0360892117023468,9.999999747378752e-05
20,0.051356758922338486,0.051356758922338486,0.036572206765413284,0.036572206765413284,9.999999747378752e-05
21,0.05132509022951126,0.05132509022951126,0.03706035017967224,0.03706035017967224,9.999999747378752e-05
22,0.050492506474256516,0.050492506474256516,0.0365186370909214,0.0365186370909214,9.999999747378752e-05
23,0.04850059375166893,0.04850059375166893,0.045756012201309204,0.045756012201309204,9.999999747378752e-05
24,0.04773973673582077,0.04773973673582077,0.035173553973436356,0.035173553973436356,9.999999747378752e-05
25,0.046982958912849426,0.046982958912849426,0.03607472777366638,0.03607472777366638,9.999999747378752e-05
26,0.046460192650556564,0.046460192650556564,0.03826130926609039,0.03826130926609039,9.999999747378752e-05
27,0.045442286878824234,0.045442286878824234,0.036246005445718765,0.036246005445718765,9.999999747378752e-05
28,0.044482216238975525,0.044482216238975525,0.04073549434542656,0.04073549434542656,9.999999747378752e-05
29,0.04353956878185272,0.04353956878185272,0.03958011418581009,0.03958011418581009,9.999999747378752e-05
