epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,learning_rate
0,0.17898765206336975,0.17898765206336975,0.05519961938261986,0.09516822546720505,0.09516822546720505,0.01436366606503725,9.999999747378752e-05
1,0.10955829918384552,0.10955829918384552,0.019340090453624725,0.06871726363897324,0.06871726363897324,0.007730937097221613,9.999999747378752e-05
2,0.0954459086060524,0.0954459086060524,0.014494451694190502,0.06500290334224701,0.06500290334224701,0.006879347376525402,9.999999747378752e-05
3,0.08951369673013687,0.08951369673013687,0.012957310304045677,0.06061132997274399,0.06061132997274399,0.005883936770260334,9.999999747378752e-05
4,0.08498436212539673,0.08498436212539673,0.011594119481742382,0.05625011771917343,0.05625011771917343,0.005067422520369291,9.999999747378752e-05
5,0.08117174357175827,0.08117174357175827,0.010527440346777439,0.05955977737903595,0.05955977737903595,0.005848833825439215,9.999999747378752e-05
6,0.07855966687202454,0.07855966687202454,0.010025246068835258,0.056509580463171005,0.056509580463171005,0.0050164684653282166,9.999999747378752e-05
7,0.0762384831905365,0.0762384831905365,0.009424959309399128,0.05766007676720619,0.05766007676720619,0.0051630232483148575,9.999999747378752e-05
8,0.07415450364351273,0.07415450364351273,0.008904443122446537,0.05073734000325203,0.05073734000325203,0.004291956312954426,9.999999747378752e-05
9,0.0717579647898674,0.0717579647898674,0.008309654891490936,0.05280262976884842,0.05280262976884842,0.004429954569786787,9.999999747378752e-05
10,0.06966966390609741,0.06966966390609741,0.007862482219934464,0.04810284078121185,0.04810284078121185,0.003902617609128356,9.999999747378752e-05
11,0.06697507202625275,0.06697507202625275,0.007283429149538279,0.051073797047138214,0.051073797047138214,0.004225538577884436,9.999999747378752e-05
12,0.06752792745828629,0.06752792745828629,0.007383807096630335,0.05026733875274658,0.05026733875274658,0.004021736327558756,9.999999747378752e-05
13,0.06541475653648376,0.06541475653648376,0.006943866144865751,0.05069601535797119,0.05069601535797119,0.004440441727638245,9.999999747378752e-05
14,0.06256414949893951,0.06256414949893951,0.006505641620606184,0.048878367990255356,0.048878367990255356,0.0037869163788855076,9.999999747378752e-05
15,0.06199280545115471,0.06199280545115471,0.006293090526014566,0.046919964253902435,0.046919964253902435,0.0036264664959162474,9.999999747378752e-05
16,0.05986366048455238,0.05986366048455238,0.005931369494646788,0.04706893116235733,0.04706893116235733,0.003767566289752722,9.999999747378752e-05
17,0.05920879542827606,0.05920879542827606,0.005778172984719276,0.04693848267197609,0.04693848267197609,0.003609968116506934,9.999999747378752e-05
18,0.057124748826026917,0.057124748826026917,0.0053886836394667625,0.04802490770816803,0.04802490770816803,0.0038555872160941362,9.999999747378752e-05
19,0.056608665734529495,0.056608665734529495,0.005289366468787193,0.04469729959964752,0.04469729959964752,0.003419567132368684,9.999999747378752e-05
