epoch,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,learning_rate
20,0.05454261973500252,0.05454261973500252,0.00498300651088357,0.04758250713348389,0.04758250713348389,0.0036572786048054695,9.999999747378752e-05
21,0.05396255478262901,0.05396255478262901,0.004862059373408556,0.044288765639066696,0.044288765639066696,0.0032829020638018847,9.999999747378752e-05
22,0.05265837907791138,0.05265837907791138,0.004625711124390364,0.045796383172273636,0.045796383172273636,0.003562462516129017,9.999999747378752e-05
23,0.05160282924771309,0.05160282924771309,0.004441674333065748,0.044045340269804,0.044045340269804,0.0032500820234417915,9.999999747378752e-05
24,0.05012347176671028,0.05012347176671028,0.00420240918174386,0.04984761029481888,0.04984761029481888,0.00421671848744154,9.999999747378752e-05
25,0.05002226307988167,0.05002226307988167,0.00422130199149251,0.04988405853509903,0.04988405853509903,0.004194035194814205,9.999999747378752e-05
26,0.04902728274464607,0.04902728274464607,0.003988047130405903,0.044025592505931854,0.044025592505931854,0.0031962678767740726,9.999999747378752e-05
27,0.047579389065504074,0.047579389065504074,0.0038043512031435966,0.04479609429836273,0.04479609429836273,0.0033632293343544006,9.999999747378752e-05
28,0.04717537760734558,0.04717537760734558,0.0037445034831762314,0.0489523708820343,0.0489523708820343,0.004122477490454912,9.999999747378752e-05
29,0.04321036487817764,0.04321036487817764,0.003192267846316099,0.044848211109638214,0.044848211109638214,0.0035151797346770763,4.999999873689376e-05
30,0.042341556400060654,0.042341556400060654,0.0030738618224859238,0.044279057532548904,0.044279057532548904,0.0032326476648449898,4.999999873689376e-05
31,0.04151131957769394,0.04151131957769394,0.002954188734292984,0.041878096759319305,0.041878096759319305,0.0030685763340443373,4.999999873689376e-05
32,0.040609199553728104,0.040609199553728104,0.002884526504203677,0.042752109467983246,0.042752109467983246,0.003060384886339307,4.999999873689376e-05
33,0.04014280438423157,0.04014280438423157,0.0027873460203409195,0.04285932332277298,0.04285932332277298,0.0030636016745120287,4.999999873689376e-05
34,0.039731431752443314,0.039731431752443314,0.0027327926363795996,0.042061321437358856,0.042061321437358856,0.0030234812293201685,4.999999873689376e-05
35,0.03990277647972107,0.03990277647972107,0.0027291630394756794,0.04621477797627449,0.04621477797627449,0.003538317745551467,4.999999873689376e-05
36,0.03882918879389763,0.03882918879389763,0.002613352844491601,0.04149214178323746,0.04149214178323746,0.002959311241284013,4.999999873689376e-05
37,0.03843009099364281,0.03843009099364281,0.0025689832400530577,0.043310798704624176,0.043310798704624176,0.003253003815189004,4.999999873689376e-05
38,0.03772953525185585,0.03772953525185585,0.0024844841100275517,0.044334955513477325,0.044334955513477325,0.003295336849987507,4.999999873689376e-05
39,0.037495680153369904,0.037495680153369904,0.002461893018335104,0.04585310444235802,0.04585310444235802,0.0034199501387774944,4.999999873689376e-05
40,0.037140142172575,0.037140142172575,0.0024662725627422333,0.044503044337034225,0.044503044337034225,0.003246651031076908,4.999999873689376e-05
41,0.03669266402721405,0.03669266402721405,0.002343434141948819,0.04116441309452057,0.04116441309452057,0.002960670506581664,4.999999873689376e-05
42,0.036586206406354904,0.036586206406354904,0.00234602321870625,0.042822062969207764,0.042822062969207764,0.0030942270532250404,4.999999873689376e-05
43,0.03591407835483551,0.03591407835483551,0.0022922647185623646,0.04283970221877098,0.04283970221877098,0.003043101169168949,4.999999873689376e-05
44,0.03595457598567009,0.03595457598567009,0.0022616060450673103,0.04563096538186073,0.04563096538186073,0.003397132270038128,4.999999873689376e-05
45,0.03544430807232857,0.03544430807232857,0.002171984175220132,0.04217534139752388,0.04217534139752388,0.00301366881467402,4.999999873689376e-05
46,0.03462883457541466,0.03462883457541466,0.0021277591586112976,0.04277992248535156,0.04277992248535156,0.0031573884189128876,4.999999873689376e-05
