epoch,learning_rate,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,9.999999747378752e-05,0.1822647750377655,0.1822647750377655,0.0908704549074173,0.0908704549074173
1,9.999999747378752e-05,0.10313709825277328,0.10313709825277328,0.061956677585840225,0.061956677585840225
2,9.999999747378752e-05,0.09081859141588211,0.09081859141588211,0.05542055144906044,0.05542055144906044
3,9.999999747378752e-05,0.08400843292474747,0.08400843292474747,0.0504048615694046,0.0504048615694046
4,9.999999747378752e-05,0.08021045476198196,0.08021045476198196,0.05096948519349098,0.05096948519349098
5,9.999999747378752e-05,0.07651540637016296,0.07651540637016296,0.04359184950590134,0.04359184950590134
6,9.999999747378752e-05,0.0739516094326973,0.0739516094326973,0.04379546269774437,0.04379546269774437
7,9.999999747378752e-05,0.06993322819471359,0.06993322819471359,0.06739683449268341,0.06739683449268341
8,9.999999747378752e-05,0.069211944937706,0.069211944937706,0.039305590093135834,0.039305590093135834
9,9.999999747378752e-05,0.0661371648311615,0.0661371648311615,0.04324255883693695,0.04324255883693695
10,9.999999747378752e-05,0.06415466964244843,0.06415466964244843,0.03878094255924225,0.03878094255924225
11,9.999999747378752e-05,0.0634676069021225,0.0634676069021225,0.04088718816637993,0.04088718816637993
12,9.999999747378752e-05,0.06139083206653595,0.06139083206653595,0.041526734828948975,0.041526734828948975
13,9.999999747378752e-05,0.061048731207847595,0.061048731207847595,0.046123333275318146,0.046123333275318146
14,9.999999747378752e-05,0.05803133547306061,0.05803133547306061,0.0384615994989872,0.0384615994989872
15,9.999999747378752e-05,0.05896256864070892,0.05896256864070892,0.04764504358172417,0.04764504358172417
16,9.999999747378752e-05,0.05669093132019043,0.05669093132019043,0.036209482699632645,0.036209482699632645
17,9.999999747378752e-05,0.054677534848451614,0.054677534848451614,0.03781822323799133,0.03781822323799133
18,9.999999747378752e-05,0.05415310338139534,0.05415310338139534,0.036654479801654816,0.036654479801654816
19,9.999999747378752e-05,0.05346226692199707,0.05346226692199707,0.0360892117023468,0.0360892117023468
20,9.999999747378752e-05,0.051356758922338486,0.051356758922338486,0.036572206765413284,0.036572206765413284
21,9.999999747378752e-05,0.05132509022951126,0.05132509022951126,0.03706035017967224,0.03706035017967224
22,9.999999747378752e-05,0.050492506474256516,0.050492506474256516,0.0365186370909214,0.0365186370909214
23,9.999999747378752e-05,0.04850059375166893,0.04850059375166893,0.045756012201309204,0.045756012201309204
24,9.999999747378752e-05,0.04773973673582077,0.04773973673582077,0.035173553973436356,0.035173553973436356
25,9.999999747378752e-05,0.046982958912849426,0.046982958912849426,0.03607472777366638,0.03607472777366638
26,9.999999747378752e-05,0.046460192650556564,0.046460192650556564,0.03826130926609039,0.03826130926609039
27,9.999999747378752e-05,0.045442286878824234,0.045442286878824234,0.036246005445718765,0.036246005445718765
28,9.999999747378752e-05,0.044482216238975525,0.044482216238975525,0.04073549434542656,0.04073549434542656
29,9.999999747378752e-05,0.04353956878185272,0.04353956878185272,0.03958011418581009,0.03958011418581009
