Method,Variant,Alpha,PICP,MPIW,MAE,RMSE
Conformal,Baseline,0.90,0.8938193343898574,40.1837854385376,9.31530459175586,12.020159225183896
Conformal,Multi,0.90,0.9025356576862124,33.08302402496338,7.484639528223716,9.938726844174772
Conformal,Baseline,0.95,0.9508716323296356,49.569584369659424,9.31530459175586,12.020159225183896
Conformal,Multi,0.95,0.960380348652932,43.71242094039917,7.484639528223716,9.938726844174772
MC Dropout,Baseline,0.90,0.7099841521394612,29.23439024615432,9.795326925117504,12.522351348100036
MC Dropout,Multi,0.90,0.8613312202852615,35.886804163401685,8.177925160494167,10.765717208551772
MC Dropout,Baseline,0.95,0.7543581616481775,34.83492455109623,9.795326925117504,12.522351348100036
MC Dropout,Multi,0.95,0.904120443740095,42.76176465067581,8.177925160494167,10.765717208551772
