Variant,Alpha,PICP,MPIW,MAE,RMSE
Baseline,0.90,0.8938193343898574,40.1837854385376,9.31530459175586,12.020159225183896
Multi,0.90,0.9025356576862124,33.08302402496338,7.484639528223716,9.938726844174772
Baseline,0.95,0.9508716323296356,49.569584369659424,9.31530459175586,12.020159225183896
Multi,0.95,0.960380348652932,43.71242094039917,7.484639528223716,9.938726844174772
